,lat,lon,Date_Mid_Greenup_Phase_1_aot40_r
1413,41.094967,-85.101814,0.4735278512895945
268,30.6764,104.1419,0.4746740048768733
1299,63.7232,-148.9676,0.475543651034179
554,22.5545,114.1063,0.4759936134893051
575,30.4576,106.6303,0.4771946610691449
593,33.3663,120.1544,0.4779950579636726
423,32.0754,118.7997,0.4788911986153242
280,40.9763,117.9392,0.480342525927399
1346,39.4125,-107.23056,0.4814052327175284
1303,33.588547,-84.06961,0.482374810057933
1178,40.39472222,-3.73194444,0.4831049656779331
288,30.2692,120.1903,0.4836528294676215
620,27.7314,112.0194,0.483876368925865
1222,49.23074,7.003174,0.4844555368471268
353,41.7867,123.4678,0.4852374432410877
442,36.7729,119.1936,0.4856503402875213
501,26.2081,111.6217,0.4859698865241074
